description,evaluate,introduce,movie_name,serial_number,start
希望让人自由。,1205183人评价,1994/美国/犯罪剧情,肖申克的救赎,1,9.6
风华绝代。,886057人评价,1993/中国大陆香港/剧情爱情同性,霸王别姬,2,9.6
怪蜀黍和小萝莉不得不说的故事。,1109065人评价,1994/法国/剧情动作犯罪,这个杀手不太冷,3,9.6
一部美国近现代史。,950314人评价,1994/美国/剧情爱情,阿甘正传,4,9.6
最美的谎言。,554989人评价,1997/意大利/剧情喜剧爱情战争,美丽人生,5,9.6
失去的才是永恒的。 ,885915人评价,1997/美国/剧情爱情灾难,泰坦尼克号,6,9.6
最好的宫崎骏，最好的久石让。 ,878403人评价,2001/日本/剧情动画奇幻,千与千寻,7,9.6
拯救一个人，就是拯救整个世界。,498693人评价,1993/美国/剧情历史战争,辛德勒的名单,8,9.6
诺兰给了我们一场无法盗取的梦。,967363人评价,2010/美国英国/剧情科幻悬疑冒险,盗梦空间,9,9.6
小瓦力，大人生。,641502人评价,2008/美国/爱情科幻动画冒险,机器人总动员,10,9.6
永远都不能忘记你所爱的人。,626045人评价,2009/美国英国/剧情,忠犬八公的故事,11,9.6
英俊版憨豆，高情商版谢耳朵。,866041人评价,2009/印度/剧情喜剧爱情歌舞,三傻大闹宝莱坞,12,9.6
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,723550人评价,1998/意大利/剧情音乐,海上钢琴师,13,9.6
天籁一般的童声，是最接近上帝的存在。 ,595500人评价,2004/法国瑞士德国/剧情音乐,放牛班的春天,14,9.6
一生所爱。,656872人评价,1995/香港中国大陆/喜剧爱情奇幻冒险,大话西游之大圣娶亲,15,9.6
如果再也不能见到你，祝你早安，午安，晚安。,637622人评价,1998/美国/剧情科幻,楚门的世界,16,9.6
千万不要记恨你的对手，这样会让你失去理智。,438653人评价,1972/美国/剧情犯罪,教父,17,9.6
爱是一种力量，让我们超越时空感知它的存在。,652913人评价,2014/美国英国加拿大冰岛/剧情科幻冒险,星际穿越,18,9.6
人人心中都有个龙猫，童年就永远不会消失。,537930人评价,1988/日本/动画奇幻冒险,龙猫,19,9.6
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,369790人评价,2011/韩国/剧情,熔炉,20,9.6
香港电影史上永不过时的杰作。,539422人评价,2002/香港/剧情犯罪悬疑,无间道,21,9.6
平民励志片。 ,699272人评价,2006/美国/剧情传记家庭,当幸福来敲门,22,9.6
满满温情的高雅喜剧。,466159人评价,2011/法国/剧情喜剧,触不可及,23,9.6
真正的幸福是来自内心深处。,753317人评价,2010/美国/剧情喜剧爱情,怦然心动,24,9.6
Tomorrow is another day.,333432人评价,1939/美国/剧情历史爱情战争,乱世佳人,25,9.6
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,714356人评价,2016/美国/喜剧动画冒险,疯狂动物城,26,9.2
无尽的黑暗。,432810人评价,2008/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士,27,9.2
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,366058人评价,1988/意大利法国/剧情爱情,天堂电影院,28,9.2
张艺谋最好的电影。,358257人评价,1994/中国大陆香港/剧情历史家庭,活着,29,9.2
瑰丽壮观、无人能及的冒险之旅。,718406人评价,2012/美国台湾英国加拿大/剧情奇幻冒险,少年派的奇幻漂流,30,9.2
1957年的理想主义。 ,214128人评价,1957/美国/剧情,十二怒汉,31,9.2
对敌人的仁慈，就是对自己残忍。,297260人评价,2000/中国大陆/剧情历史战争,鬼子来了,32,9.2
史诗的终章。,356285人评价,2003/美国新西兰/剧情动作奇幻冒险,指环王3：王者无敌,33,9.2
比利·怀德满分作品。,144457人评价,1957/美国/剧情犯罪悬疑,控方证人,34,9.2
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,471124人评价,1999/美国德国/剧情动作悬疑惊悚,搏击俱乐部,35,9.2
对天空的追逐，永不停止。 ,414039人评价,1986/日本/动画奇幻冒险,天空之城,36,9.2
最后那些最无聊的事情，才是最值得怀念的。 ,632479人评价,2009/美国/剧情喜剧动画冒险,飞屋环游记,37,9.2
旷古烁今。,528579人评价,1995/香港中国大陆/喜剧爱情奇幻冒险,大话西游之月光宝盒,38,9.2
爱情哪怕只有一天。,479702人评价,1953/美国/喜剧剧情爱情,罗马假日,39,9.2
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,640156人评价,2016/印度/剧情传记运动家庭,摔跤吧！爸爸,40,9.2
别样人生。,283783人评价,2006/德国/剧情悬疑,窃听风暴,41,9.2
电影的现实意义大过电影本身。,281264人评价,2013/韩国/剧情,辩护人,42,9.2
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,323036人评价,1998/英国/剧情喜剧犯罪,两杆大烟枪,43,9.2
史上最美的探戈。,406900人评价,1992/美国/剧情,闻香识女人,44,9.2
带着心爱的人在天空飞翔。,448479人评价,2004/日本/动画奇幻冒险,哈尔的移动城堡,45,9.2
自由万岁。,327259人评价,1975/美国/剧情,飞越疯人院,46,9.2
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,349051人评价,1989/美国/剧情,死亡诗社,47,9.2
一张面具背后的理想与革命。,527920人评价,2005/美国英国德国/剧情动作科幻惊悚,V字仇杀队,48,9.2
海豚的微笑，是世界上最高明的伪装。,215324人评价,2009/美国/纪录片,海豚湾,49,9.2
优雅的孤独。,237297人评价,1974/美国/剧情犯罪,教父2,50,9.2
承前启后的史诗篇章。,334018人评价,2002/美国新西兰/剧情动作奇幻冒险,指环王2：双塔奇兵,51,9.0
传说的开始。,374123人评价,2001/新西兰美国/剧情动作奇幻冒险,指环王1：魔戒再现,52,9.0
爱是一切逻辑和原由。,372339人评价,2001/美国/传记剧情,美丽心灵,53,9.0
人生不能像做菜，把所有的料都准备好了才下锅。,256739人评价,1994/台湾美国/剧情家庭,饮食男女,54,9.0
暗恋的极致。,459297人评价,1995/日本/剧情爱情,情书,55,9.0
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,241900人评价,2013/韩国/剧情,素媛,56,9.0
动物版《哈姆雷特》。,351418人评价,1994/美国/剧情动画冒险歌舞家庭,狮子王,57,9.0
音乐能化解仇恨。,245828人评价,2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,58,9.0
往事如烟，无处祭奠。,211796人评价,1984/意大利美国/犯罪剧情,美国往事,59,9.0
奔跑的孩子是天使。,177686人评价,1997/伊朗/剧情家庭儿童,小鞋子,60,9.0
警察抓小偷，老鼠玩死猫。,513109人评价,1995/美国/剧情犯罪悬疑惊悚,七宗罪,61,9.0
以戏谑来戏谑戏谑。,368906人评价,2006/日本/剧情歌舞,被嫌弃的松子的一生,62,9.0
孪生蝙蝠侠大战克隆金刚狼。,419095人评价,2006/美国英国/剧情悬疑惊悚,致命魔术,63,9.0
在时间之河里感受溺水之苦。,477384人评价,2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,64,9.0
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,238970人评价,1987/英国意大利中国大陆法国美国/剧情传记历史,末代皇帝,65,9.0
美丽无罪。,444129人评价,2000/意大利美国/剧情战争情色,西西里的美丽传说,66,9.0
法式小清新。 ,571615人评价,2001/法国德国/喜剧爱情,天使爱美丽,67,9.0
视觉革命。,351520人评价,1999/美国澳大利亚/动作科幻,黑客帝国,68,9.0
你给我翻译翻译，神马叫做TMD的惊喜。,777231人评价,2010/中国大陆香港/剧情喜剧动作西部,让子弹飞,69,9.0
美利坚精神输出大片No1.,300203人评价,1998/美国/剧情历史战争,拯救大兵瑞恩,70,9.0
你以为你以为的就是你以为的。,470783人评价,2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,71,9.0
用音乐化解仇恨，让歌声串起美好。,280499人评价,1965/美国/剧情传记爱情歌舞,音乐之声,72,9.0
故事的高级讲法。,410696人评价,1994/美国/剧情喜剧犯罪,低俗小说,73,9.0
史诗大片的典范。,342910人评价,1995/美国/动作传记剧情历史战争,勇敢的心,74,9.0
浪漫忧郁的成人童话。,580274人评价,1990/美国/剧情奇幻爱情,剪刀手爱德华,75,9.0
经典之作，历久弥新。,136214人评价,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,76,9.3
安东尼·霍普金斯的顶级表演。,419651人评价,1991/美国/剧情犯罪惊悚,沉默的羔羊,77,9.3
人的命运被自己瞬间的抉择改变。,460754人评价,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,78,9.3
童话世界的开端。,348663人评价,2001/美国英国/奇幻冒险,哈利·波特与魔法石,79,9.3
爱情纠缠，男女一致。,302796人评价,1997/香港日本韩国/剧情爱情同性,春光乍泄,80,9.3
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,361373人评价,2008/日本/剧情,入殓师,81,9.3
人生中应该拥有这样的一段豁然开朗。,334413人评价,1997/美国/剧情,心灵捕手,82,9.3
骗子大师和执著警探的你追我跑故事。 ,301722人评价,2002/美国加拿大/传记犯罪剧情,猫鼠游戏,83,9.3
小清新的故事里注入了大历史的情怀。,401278人评价,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,84,9.3
昔日翩翩少年，今日大腹便便。,441595人评价,2010/美国/剧情悬疑惊悚,禁闭岛,85,9.3
你是我最好的朋友，你是我唯一的朋友 。,262246人评价,2009/澳大利亚/剧情动画,玛丽和马克思,86,9.3
一场华丽的意淫。,327793人评价,1994/中国大陆香港/剧情,阳光灿烂的日子,87,9.3
深入内心的恐怖，出人意料的结局。,280397人评价,1999/美国/剧情悬疑惊悚,第六感,88,9.3
人与自然的战争史诗。,280333人评价,1997/日本/动画奇幻冒险,幽灵公主,89,9.3
